第一个点tnt,第二个点tnt,第三个点tnt,x动量,y动量,z动量,方向
2135,60105,165,-37599.088866885526,125.23285489058973,37400.24146069561,111
2135,60105,165,-37599.088866885526,125.23285489058973,37400.24146069561,111
2135,60104,165,-37598.48629898798,125.23397109244874,37399.63889279806,111
2136,60104,165,-37599.0869180427,125.3241379968668,37400.239511852786,111
2136,60104,165,-37599.0869180427,125.3241379968668,37400.239511852786,111
2136,60103,165,-37598.48435014516,125.32525419872579,37399.63694395524,111
2137,60103,165,-37599.08496919988,125.41542110314381,37400.23756300996,111
2137,60103,165,-37599.08496919988,125.41542110314381,37400.23756300996,111
2137,60102,165,-37598.48240130233,125.41653730500282,37399.634995112414,111
2138,60102,165,-37599.08302035706,125.50670420942087,37400.23561416714,111
2138,60102,165,-37599.08302035706,125.50670420942087,37400.23561416714,111
2138,60101,165,-37598.48045245952,125.50782041127988,37399.6330462696,111
2139,60101,165,-37599.08107151424,125.5979873156979,37400.233665324326,111
2139,60101,165,-37599.08107151424,125.5979873156979,37400.233665324326,111
2139,60100,165,-37598.4785036167,125.5991035175569,37399.63109742678,111
2140,60100,165,-37599.07912267142,125.68927042197495,37400.2317164815,111
2140,60100,165,-37599.07912267142,125.68927042197495,37400.2317164815,111
2140,60099,165,-37598.47655477387,125.69038662383396,37399.629148583954,111
2141,60099,165,-37599.0771738286,125.78055352825199,37400.22976763868,111
2141,60099,165,-37599.0771738286,125.78055352825199,37400.22976763868,111
2141,60098,165,-37598.47460593106,125.78166973011098,37399.62719974114,111
2142,60098,165,-37599.075224985776,125.87183663452903,37400.22781879586,111
2142,60098,165,-37599.075224985776,125.87183663452903,37400.22781879586,111
2142,60097,165,-37598.47265708823,125.87295283638804,37399.62525089831,111
2143,60097,165,-37599.07327614295,125.96311974080606,37400.225869953036,111
2143,60097,165,-37599.07327614295,125.96311974080606,37400.225869953036,111
2143,60096,165,-37598.47070824541,125.96423594266507,37399.623302055494,111
2144,60096,165,-37599.07132730014,126.05440284708313,37400.22392111022,111
2144,60096,165,-37599.07132730014,126.05440284708313,37400.22392111022,111
2144,60095,165,-37598.46875940259,126.05551904894212,37399.62135321267,111
2145,60095,165,-37599.06937845731,126.14568595336014,37400.22197226739,111
2145,60095,165,-37599.06937845731,126.14568595336014,37400.22197226739,111
2145,60094,165,-37598.46681055977,126.14680215521915,37399.61940436985,111
2146,60094,165,-37599.06742961449,126.2369690596372,37400.220023424576,111
